true_delay,est_stock,est_corrected
-3.0,0.660237127404696,1.7003005922363104
-2.875,0.5990649632498481,1.8268886036050371
-2.75,0.5375490852141377,1.9520234754719823
-2.625,0.4757246638756146,2.07362226718101
-2.5,0.4128783461108211,2.192102153344263
-2.375,-0.6924227915492545,0.8843933087721763
-2.25,-0.26113719820285625,-0.42123681759664117
-2.125,-0.3326636599370298,-2.221138189362285
-2.0,-0.4074785244384514,-2.0903283942440556
-1.875,-0.4849649962223776,-1.952358202907459
-1.75,-0.5639416972473893,-1.8086369095979014
-1.625,-0.6423906364207874,-1.6637912369050174
-1.5,-0.7179718255846765,-1.5241156212168574
-1.375,-0.7893678588365098,-1.3935030378515219
-1.25,-0.8568671049547092,-1.2715860551205067
-1.125,-0.9218202205524313,-1.1551692341914939
-1.0,-0.9859477916076794,-1.0401119088852808
-0.875,-1.050918791767982,-0.9224062145304927
-0.75,-1.1180382595519893,-0.7988948602525381
-0.625,0.351795612982621,-0.6681805609490883
-0.5,0.2798055661170622,-0.5315733951469588
-0.375,0.2072182177421622,-0.39293969269873225
-0.25,0.13582275884966935,-0.25671858128251446
-0.125,0.06671831238476565,-0.1256356118294595
0.0,8.124867326726624e-17,-1.227831057432092e-16
0.125,-0.0650160433659242,0.1216612579470476
0.25,-0.12942132924950545,0.24169929675066162
0.375,-0.1943709179165144,0.36256801969769414
0.5,-0.2607662013470442,0.4861092887989271
0.625,-0.3289750064906398,0.6129033375584191
0.75,-0.3987110543377913,0.742027058427516
0.875,1.070444926700484,0.871622303890774
1.0,1.0000000000000004,0.9999999999999999
1.125,0.9302087046063227,1.1264049937875646
1.25,0.8613420264785058,1.2510471963792493
1.375,0.7933967940152942,1.374732201301541
1.5,0.7261774900337337,1.4984450235652615
1.625,0.6594085785808513,1.622954405279383
1.75,0.5928738655872681,1.7484556886757274
1.875,0.5265064445951687,1.87443911455434
2.0,0.4603381014304293,1.9999999999999998
2.125,0.394342207754814,2.124456365364198
2.25,0.32832827795884634,2.2477942902113757
2.375,0.26198274973340513,0.44637120860619306
2.5,-0.345960641350531,-2.281110196867344
2.625,-0.41374308126362563,-2.1565578819907976
2.75,-0.48227602329790653,-2.030400539507987
2.875,-0.5512751086020862,-1.9029362351712247
3.0,-0.6202860858257476,-1.7750556792873047
