tau_samples,ber_stock_noloop,ber_corrected_noloop,ber_stock_withloop,ber_corrected_withloop
0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.2,3.7202380952380956e-05,0.0,3.7202380952380956e-05,0.0
0.3,0.02384672619047619,0.0,0.02384672619047619,0.0
0.4,0.050595238095238096,0.0,0.050595238095238096,0.0
0.5,0.06683407738095239,2.7901785714285713e-05,0.06683407738095239,2.7901785714285713e-05
0.6,0.07788318452380952,0.0009486607142857143,0.07788318452380952,0.0
0.7,0.09529389880952381,0.01072358630952381,0.09529389880952381,0.0
0.8,0.0793061755952381,0.025744047619047618,2.7901785714285713e-05,0.0
0.9,0.0376953125,0.037351190476190475,0.0,0.0
1.0,0.047116815476190475,0.04680059523809524,0.0,0.0
1.1,0.05465959821428571,0.05416666666666667,0.0,0.0
1.2,0.06109561011904762,0.06050037202380952,2.7901785714285713e-05,0.0
1.3,0.0919921875,0.06582961309523809,0.023976934523809525,0.0
1.4,0.12255394345238095,0.07060081845238095,0.0507719494047619,0.0
1.5,0.14189918154761905,0.07408854166666666,0.06675037202380953,0.00030691964285714285
1.6,0.15599888392857142,0.07759486607142857,0.07785528273809524,0.0
1.7,0.16635044642857144,0.08133370535714286,0.09496837797619048,0.0
1.8,0.18736979166666667,0.08342633928571429,1.8601190476190478e-05,0.0
1.9,0.20572916666666666,0.0857607886904762,0.0,0.0
2.0,0.2288597470238095,0.09359188988095238,0.2288597470238095,0.0
