tau_samples,ber_stock_noloop,ber_corrected_noloop,ber_stock_withloop,ber_corrected_withloop
0.0,0.0,0.0,0.0,0.0
0.1,0.003724888392857143,0.0,0.003724888392857143,0.0
0.2,0.033975074404761905,0.0005161830357142857,0.033975074404761905,0.0005161830357142857
0.3,0.06392299107142857,0.007905505952380952,0.06392299107142857,0.007905505952380952
0.4,0.08983909970238095,0.02045200892857143,0.08983909970238095,0.02045200892857143
0.5,0.1124906994047619,0.031101190476190477,0.1124906994047619,0.031101190476190477
0.6,0.1303803943452381,0.040345982142857145,0.1303803943452381,0.019698660714285714
0.7,0.14850725446428573,0.04819103422619048,0.14850725446428573,0.008528645833333333
0.8,0.13070591517857144,0.05668247767857143,0.13070591517857144,0.0006138392857142857
0.9,0.06651785714285714,0.061848958333333336,0.0036318824404761906,9.300595238095239e-06
1.0,0.06581566220238096,0.06608537946428572,0.0,0.0
1.1,0.07524181547619048,0.07124255952380952,0.003841145833333333,0.0
1.2,0.11008184523809524,0.07599981398809524,0.03410063244047619,0.0005208333333333333
1.3,0.13609095982142858,0.08003627232142857,0.06353701636904761,0.007938058035714285
1.4,0.1523251488095238,0.08344029017857142,0.08962983630952381,0.020242745535714285
1.5,0.16795479910714287,0.08610956101190476,0.1118257068452381,0.03184523809523809
1.6,0.18089657738095238,0.09011346726190476,0.12994791666666666,0.02004278273809524
1.7,0.19474051339285714,0.09436383928571429,0.14824683779761905,0.007938058035714285
1.8,0.20751953125,0.09827008928571429,0.03420293898809524,0.0006696428571428571
1.9,0.22282831101190476,0.10111142113095238,0.003859747023809524,0.0
2.0,0.24067150297619047,0.10459449404761904,0.24067150297619047,0.0
