max_tap_delay,num_taps,extra_frac_offset,ber_stock,ber_corrected
1,2,0.0,0.0,0.0
1,2,0.5,0.08935081845238095,0.021065848214285716
1,3,0.0,0.0,0.0
1,3,0.5,0.07064732142857143,0.0009579613095238095
2,2,0.0,0.045554315476190474,0.052036830357142856
2,2,0.5,0.0013485863095238095,6.510416666666667e-05
2,3,0.0,0.0,0.0
2,3,0.5,0.057384672619047616,0.020619419642857142
3,2,0.0,0.06592261904761905,0.0020833333333333333
3,2,0.5,0.06442522321428572,0.019382440476190477
3,3,0.0,0.044187127976190475,0.01591331845238095
3,3,0.5,0.09236421130952381,0.07738095238095238
4,2,0.0,0.029752604166666665,0.07690662202380952
4,2,0.5,0.12259114583333333,0.11215587797619048
4,3,0.0,0.07406063988095238,0.0004464285714285714
4,3,0.5,0.1007626488095238,0.03605840773809524
6,2,0.0,0.0683500744047619,0.04342447916666667
6,2,0.5,0.11154203869047619,0.025697544642857142
6,3,0.0,0.03728608630952381,0.10964471726190476
6,3,0.5,0.06564360119047619,0.038829985119047616
8,2,0.0,0.08823474702380953,0.06257440476190476
8,2,0.5,0.13270089285714284,0.09406622023809524
8,3,0.0,0.09718191964285715,0.09412202380952381
8,3,0.5,0.16747581845238096,0.11169084821428571
10,2,0.0,0.03726748511904762,0.023325892857142858
10,2,0.5,0.1298642113095238,0.026990327380952382
10,3,0.0,0.05601748511904762,0.05131138392857143
10,3,0.5,0.14136904761904762,0.07007998511904762
12,2,0.0,0.028673735119047618,0.011318824404761904
12,2,0.5,0.08270089285714285,0.028506324404761904
12,3,0.0,0.05681733630952381,0.06211867559523809
12,3,0.5,0.14441964285714284,0.07298177083333333
